Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2024-06-21 00:00:00-04:00,501.7320416830129,501.7320416830129,490.7097852096126,493.09161376953125,23130700,0.0,0.0,META
2024-06-24 00:00:00-04:00,497.4965384489006,506.06716741550116,492.6032897190552,497.20751953125,13525300,0.0,0.0,META
2024-06-25 00:00:00-04:00,495.3538552472839,508.96724553577997,493.8091566300633,508.8576354980469,12109800,0.0,0.0,META
2024-06-26 00:00:00-04:00,504.92115590598786,512.0567275410722,502.95787690573815,511.36907958984375,8882300,0.0,0.0,META
2024-06-27 00:00:00-04:00,512.4952310557064,521.0957878790974,512.1464496871524,517.787109375,10121200,0.0,0.0,META
2024-06-28 00:00:00-04:00,515.3852901424151,520.0991299203725,502.1206815027582,502.4993896484375,15855100,0.0,0.0,META
2024-07-01 00:00:00-04:00,503.2269228247233,504.8513350720168,491.4871220656849,502.95782470703125,10328200,0.0,0.0,META
2024-07-02 00:00:00-04:00,499.05121715024654,508.75797065832194,497.7456898251192,507.7613830566406,7739500,0.0,0.0,META
2024-07-03 00:00:00-04:00,504.64207218134015,509.53532108304773,504.29326042895076,508.2198181152344,6005600,0.0,0.0,META
2024-07-05 00:00:00-04:00,509.85420477507415,539.0243118788674,509.85420477507415,538.0675659179688,21354100,0.0,0.0,META
2024-07-08 00:00:00-04:00,540.4992996840293,540.9577519109172,524.8529218920803,527.5137939453125,14917500,0.0,0.0,META
2024-07-09 00:00:00-04:00,531.9286095961085,535.6458617264369,526.3875852013534,528.19140625,8753200,0.0,0.0,META
2024-07-10 00:00:00-04:00,528.9787015738791,537.0411218886109,526.5570010450824,532.8654174804688,10983300,0.0,0.0,META
2024-07-11 00:00:00-04:00,529.0784006805071,533.632813269708,506.6352286709946,510.9504699707031,16458300,0.0,0.0,META
2024-07-12 00:00:00-04:00,496.06143545934026,506.3561716108576,492.5434825758769,497.1676330566406,19750500,0.0,0.0,META
2024-07-15 00:00:00-04:00,496.92849159199443,504.95100979611664,491.686430959872,494.4669189453125,12539200,0.0,0.0,META
